감정_대분류,사람문장
당황,젊은 시절에 내가 했던 일이 이제 와 한심해.젊을 때 노느라고 모아놓은 돈이 없어 지금 치료비가 없어 치료를 못 받아.보험이라도 들어놓았으면 좋았을 것을 후회가 되네.복지 단체에 도움을 받을 수 있는지 찾아봐야겠어.
상처,치과의 과잉 진료로 안 해도 되는 임플란트까지 하게 되어 큰돈을 지불했어.아직 괜찮은 것 같은데 임플란트를 하라고 해서 이상하게 생각했었는데. 너무 큰돈이 나가서 억울할 따름이야.만나는 사람들마다 이 치과엔 절대 가지 말라고 이야기할 거야. 다른 피해자가 또 생기게 할 수는 없지.
슬픔,재정적으로 큰 사기를 당한 이후로 모든 사람들을 믿을 수 없게 되었어.왜 나는 사람들을 믿을 수 없는 걸까 생각하니 마음이 답답하고 눈물이 나.맞아. 그래도 점점 더 나아지고 있으니까 다행이라고 생각하고 점점 더 극복해야지.
상처,산책하던 중에 갑자기 자전거가 튀어나와 팔목이 부러졌지 뭐야.자전거 사고를 낸 아이 엄마는 나도 잘못이 있다며 치료비를 물어줄 수 없다고 하니 미칠 노릇이야.갑자기 빠른 속도로 튀어나온 건 그 아이야. 블랙박스 증거 영상을 제시해서 치료비를 요구해야겠어.
슬픔,모든 게 끝난 느낌이야. 투자했던 주식이 폭락했어.이제 아무것도 못 할 것 같아. 모든 게 마비된 것 같아. 
기쁨,비만이라고 걱정만 하지 말고 걷기만 해도 체중이 빠지니 기분이 좋아.그럼. 일 년 걷는 동안 십 킬로는 빠졌다네.운동 삼아 계속 걷다 보니 좋은 결과가 있더군. 요요현상이 있으니 꾸준히 걸을까 해.
당황,병원비를 지불해야 하는데 자식들이 보내주는 용돈이 끊겨 병원비를 못 내고 있어서 서운해.이젠 스스로 돈 벌 힘도 없고 어떻게 해야 할지.그간 자식들에게 미안한 마음이 있어서 연락할 엄두가 안났는데 아무래도 전화 한 통을 해봐야겠어.
상처,병을 앓으면서 친하게 지내던 동호회 사람들과 멀어졌어.친했는데 요즘에는 연락도 잘 안 해.내가 먼저 연락을 하고 병이 나으면 동호회 모임에 자주 참석해야겠어.
상처,딸이 또 공무원 시험에 떨어졌대. 애쓰는 걸 지켜봐서 그런지 내 마음도 괴롭네.내가 도와줄 수 있는 일이 아니라 더 괴로워. 기약이 없으니 더 힘들 것 같고.
기쁨,병이 있어도 내 집이 있으니 아직은 편안하고 기쁘네.내 친구를 보면 몸도 불편한데 전셋집을 알아본다고 돌아다니는데 너무 힘들어 보이더라고.일단 병을 치료하고 난 다음에 생각을 해야겠지만 쭉 여기 살려고 해.
불안,대인관계에 혼란을 느껴.너무 사람들이 힘들게 해.다들 자기 고집이 너무 세.
당황,나이는 먹어 가는데 벌어놓은 돈은 없으니 걱정이야.용돈보다도 언제 몸이 아파 큰돈이 들어야 할지 모를 일이니 하는 말이지.
불안,몸이 안좋으데 이제 어떻게 살아가야 하는지 . 많이 혼란스럽네.건강을 위해 운동을 시작해야겠어.
불안,수술해 본 적이 없는데 신장 이식 수술을 받아야 한다고 해서 무서워.불안해서 잠도 잘 못 자겠어.자식들이 옆에 있어 주면 좋겠어.
상처,나한테 오늘 위암 말기 판정이 나왔어.지금까지 착하게 살아왔다고 생각했는데 큰 병이 생겨서 억울해.마지막으로 내가 살면서 해보고 싶었던 걸 다 하고 가고 싶어.
불안,얼른 몸이 나아야 딸 결혼식에 갈 수 있을 텐데 마음이 초조해.생애 단 한 번뿐인 결혼식에 엄마가 안 갈 수가 있나.최대한 긍정적인 자세로 임하고 건강관리를 해야겠네.
당황,평소 치질로 고생하고 있는데 치질 전문 병원 앞에서 옆집 사람을 마주쳐서 부끄러웠어.옆집과 친분이 있는데 부끄러워서 얼굴을 못 볼 거 같아.최대한 옆집과 마주치지 않는 시간에 다녀야겠어.
불안,이제 어떻게 살지? 당뇨병도 심한 상태라 힘든데 어제는 집에 빨간 딱지까지 붙었어.내가 그렇게 사업하지 말라고 뜯어 말렸는데도 말을 안 듣더니. 큰일이야.파산신청을 하면 어떻게 되는지 내가 직접 변호사를 찾아가봐야지.
슬픔,이젠 친구들 전화도 띄엄띄엄 오고 참 한심스럽네.그렇지. 맨날 광고 전화나 쓸데없는 카톡이나 오고 인생이 덧없이 슬프구먼.
상처,친구가 재혼했는데 엄청 연하에 잘 생겼더라고. 질투가 다 나더라.어떻게 그런 남자를 만났는지 참 운도 좋지.그 친구에게 나름의 매력이 있으니까라고 인정하려고 노력 중이야.
당황,주식의 가격이 순식간에 폭락했는데 내 것을 팔아야 할지 모르겠구나. 너무 힘들다.주식은 변동이 너무 잦고 복잡해서 생각해야 하는 것이 너무 스트레스야.일단 나의 상황과 비슷한 상황에 대해 공부한 후 현명한 판단을 내려야겠어.
상처,친한 사람을 믿고 돈을 빌려줬는데 그 사람이 안 갚고 있어서 답답하네.참나. 빌려 달라고 할 때는 금세 갚을 것처럼 빌려 가더니 막상 빌려 주니까 모른 척 하네.
불안,내 친구는 열심히 놀러 다니는데 나는 저축한 돈도 없어.돈이라도 벌어보려고 일하려 하는데 써주는 곳이 없네.응. 요즘 일자리 때문에 스트레스야.
분노,친구가 약속시간에 지각해 짜증나매번 이렇게 지각하니 말야.칠십이 넘었는데 당뇨가 있어.
슬픔,자식들에게 요즘 미안한 마음만 들어서 눈물이 나.자식들이 내 재산을 탐내는 게 눈에 보이는데 자식들도 사정이 안 좋아서 그러는 거라 슬퍼.유산을 조금 정리해서 자식들에게 줄까 하는 생각도 들어.
당황,남과 함께 가다가 구걸하는 사람을 보면 선뜻 돈을 주게 돼.하지만 이렇게 남의 시선을 의식하는 내가 싫어.의식하지 않으려고 신경 써야겠어.
기쁨,과거에 연금 저축을 많이 들어둔 게 참 다행이야.연금 저축을 하지 않았으면 돈을 있는 대로 다 써서 지금 한 푼도 없었을 거야.
기쁨,동네에 산책로가 생겨서 걷기 운동하기가 좋아.혼자 산책할지 아내와 함께 산책할지 고민이야.역시 아내와 함께 산책을 즐겨야겠어.
상처,나에게 오백만 원을 빌려간 김 영감은 십 년이 지나도록 갚지 않고 있어.빌릴 때 금방 돌려준다고 해놓고 모르쇠하고 있으니 너무 화가 나.관련 기관에 문의를 해봐야겠어.
당황,친구들은 나와 다르게 노후 준비를 다 하고 있는 것 같아 당황스러워.나는 여태까지 노후 준비를 생각해 본 적이 없는데 친구들은 이미 하고 있어서 부끄럽기도 해.지금이라도 틈틈이 신경 쓰고 준비해야겠어.
당황,이 나이가 되고 가족 재정에 아무 도움이 되지 않아서 한심해.맞아. 병원비도 계속 나가는데 가족들에게 미안한 마음을 표현하고 싶어.내가 직접 요리를 해서 상을 대접하면서 말하는 게 좋을 것 같아.
분노,왜 이리 물가가 비싼 거야?병원 가기도 무섭다니까.
기쁨,노인정에서 제일 건강한 사람으로 뽑혀 기분이 좋아.그런데 관절염은 조금 염려가 돼.규칙적으로 생활했어.
슬픔,운동을 아무리 열심히 해도 아무 소용이 없네.운동 좋아하고 열심히 움직이면 뭐 해. 당뇨병이라는데.헬스장에 가서 땀을 좀 빼고 생각해볼래.
당황,회사에서 꼬리 자르기로 내가 책임을 다 지고 물러나게 되었어.그니까 곧 마흔인데 또 어디에 취업을 할 수 있을지 모르겠어서 너무 막막해.이제부터 영양제도 잘 챙겨먹고 운동도 꾸준히 해야겠어.
당황,"디스크 수술 의료과실 책임을 간호사한테 떠넘기지 말걸. 죄송하네.근데 의사가 시킨 거야. 이렇게 될 줄 알았다면 안 했지.양심선언 해야 하나 고민돼. 이대로는 죄스러워서 못 살겠어.
"
분노,병 관리와 생계유지를 위해 아내와 가게를 차렸는데 장사가 잘 안 돼 가게 문을 닫게 생겼어.가게에 돈도 많이 들었는데 은근 착잡한 기분도 많이 들어.가게 홍보를 하고 광고도 많이 내서 사람들이 가게를 많이 찾을 수 있게끔 해야지.
슬픔,허리디스크를 예방하고자 등산 동호회에 가입신청을 했는데 사람이 너무 많아 떨어졌어.요즘은 하고자 하는 일들이 잘 안되면 자신감이 없어지고 힘이 빠지네.저녁에 친구랑 만나서 소주 한잔이라도 하면서 이야기 나눠야겠어.
분노,간단히 장을 보려고 해도 자꾸 비싸서 아끼려고 해.이러면서 사니까 자꾸 회의감이 들어서 힘들어.한 번 가격 걱정 없이 장 보면서 스트레스를 풀어야겠어.
당황,집이 오래되어 비가 새는데 수리비가 부족해서 그냥 살고 있는 내가 너무 불쌍해.혼자 살아서 외롭고 고립된 기분을 느끼는데 돈까지 없으니까 슬퍼.노인복지회관이나 노인 직장을 찾아봐야겠어!
슬픔,주변 사람들의 모습을 보고 실망했어.사람들이 너무 진실하지 못해.응. 너무 속이더라고.
슬픔,회사 동료였던 부장이 퇴직하고 얼마 안 지나서 고혈압으로 쓰려졌어.회사에서 스트레스가 많았는지 퇴직하고 바로 쓰러졌어. 너무 슬퍼.병문안 가보고 저 친구랑 같이 있는 시간 좀 늘려야겠어.
불안,건강검진이 끝나고 의사가 갑자기 검사를 더 하자고 해서 너무 불안했어.평소에 건강하긴 한데 술을 자주 마셔서 아내가 걱정했었거든.의사한테 술 마시는 것을 얘기하고 자세히 검사해 달라고 할 예정이야.
당황,자식들도 다 결혼하고 아무도 없는 집에서 고독을 달래기 위해 텔레비전을 켰어.외로워서 재미도 없는 텔레비전을 보려니 내 처지가 서글퍼져.친구들이라도 만나고 와야겠어.
상처,노인들이 아무 이유 없이 나와 있으면 불편하다고 해서 나는 너무 억울해.나는 그 노인들과 친해지고 싶은데 나와 전혀 말을 안 해.막걸리 한잔 하면서 다시 먼저 말을 걸어 봐야겠어.
기쁨,대인관계가 만족스러워.요즘 친구들이랑 사이가 좋아.
상처,며칠 전에 충격스러운 일이 있었어.오랜만에 친구들 모임에 나갔는데 친구 중 하나가 내가 너무 살이 쪘다는 거야.응. 순간 친구들이 전부 살이 왜 이렇게 쪘냐고 그래서 창피하고 충격받았지.
슬픔,치매증상이 나타나서 남편이 계속 옆에 있어줘야 하는 게 마음이 아파.나 때문에 친구 만나러 나가지도 못하고 포기하는 것들이 많으니까 괜히 미안해지더라고.치매증상이 더 심해지기 전에 남편이랑 밥 먹으면서 고맙다고 얘기하려고.
당황,만성 질환 치료 때문에 재정적으로 많이 힘든 상황이야.치료비로 벌서 수천만 원을 빌렸는데 앞으로도 계속 치료비가 필요해서 가족들 볼 면목이 없어.병원 생활을 오래하고 돈 때문에 힘든 건 잘 알고 있어. 그래서 배려를 많이 해주긴 해.
기쁨,내가 고혈압으로 쓰러지고 나서 우리 가족들이 한자리에 모이게 되었어. 그래도 가족들을 볼 수 있어 기뻐.한 자리에 모인 게 오랜만이라 그런지 더 기쁘네.앞으로도 자주 모이자고 가족들에게 얘기해 봐야겠어.
불안,돈 다 짊어지고 가는 것도 아니고 돈 모아서 뭐 하나.살날이 얼마 남지 않았다고 생각하면 별생각이 다 들어.좋아하는 음식 먹을 때가 최고지.
기쁨,남편도 나도 만성 질환으로 지속적인 치료가 필요한 상황이지만 경제적으로 여유로워서 다행이야.누구에게 의지하지 않아도 되서 얼마나 다행인지.이 상황을 감사하며 건강을 유지하려고 노력해야지.
분노,명절에 자식들이 따로따로 와서 가끔 성가셔.그런데 어쩔 수 없다는 걸 알아서 화가 나.노인정에 가서 친구들이랑 자식들 욕이나 해야겠어.
슬픔,내가 심근경색증으로 한 번 죽을 고비를 넘겼어. 그 뒤로 죽음이 너무 두려워.응. 그때 힘들었던 기억이 계속 떠오르면서 다음에도 그럴 것 같아 무서워.평소에 운동을 조금씩 하면서 내가 죽을 거라는 생각을 떨쳐버리는 게 최선인 거 같아.
기쁨,오늘 딸아이 남자친구가 집에 온대. 기대되네.첫인사인데 잘 준비하고 싶어.우선 집 안 청소를 하고 음식 준비하는 아내를 도와야겠어.
당황,다단계 건강식품을 판매하는 친구가 같이 일하자고 권유해서 당황스러워.나는 다단계 건강식품을 판매하는 일을 할 생각이 없어.친구에게 다단계 건강식품을 판매하는 일을 할 생각이 없다는 단호한 내 생각을 전해주어야겠어.
기쁨,나는 지금껏 잘 살아온 것 같아.여태 큰 병 없이 지내 온 거 보면 앞으로도 그렇지 않을까 싶어서.난 운동도 자주하고 건강한 음식 위주로 잘 먹었어.
불안,이번에 하는 마을 노인잔치에 후원이 없을까 봐 불안해.이번 행사는 이장이 되고 처음 하는 일이라 잘 해야 하는데 말이야.후원해주는 마을 가게들을 찾아가 좀 부탁해보려 해.
기쁨,천식을 한평생 달고 살았었는데 뉴스를 보니 천식 치료제가 개발되어서 기뻐.천식 때문에 하지 못했던 마라톤대회도 천식이 다 나아지면 참가할 수 있게 되어 신이나.
상처,자식들한테 집 주소 좀 알려달라니까 끝까지 알려주지 않아. 배신감에 너무 화가 나.어떻게 다 키워놓았더니 저렇게 나를 배신하는지. 속이 터져.이제 아들딸 생각 안 하고 살려고. 나를 위해 돈도 쓰고.
상처,남편 벌이가 시원치 않아. 나도 남들처럼 돈 잘 버는 남편 만나 여생 피고 싶어.한 달 벌어 한 달 쓰는 게 고작이야. 돈 한 번 펑펑 써보고 싶어.남편 정년이 곧 다가오니까 그걸로 펀드 같은 걸 해봐야겠어.
불안,확실히 나이가 드니까 사람이 이상해져.아니 예전에는 안그랬는데 친구가 나이 들면서 툭하면 화를 내.놀라기보다 나도 그렇게 될까봐 걱정이 되는거지.
슬픔,진료받으러 왔다가 진상 환자 때문에 우는 간호사를 보고 있으면 우리 손녀가 생각나서 짠해.우리 손녀도 간호사를 하는데 저런 취급을 당할 걸 생각하니 너무 슬퍼.손녀가 힘이 나도록 나도 뭔가 해봐야겠어.
불안,시간은 가는데 이 사람은 왜 이리 오지 않는 거야.같이 고향에 갈 친구를 여기서 만나기로 해서 기다리고 있어. 차 탈 시간이 다 되었는데도 오지 않아 걱정되어서 차 시간이 지나 차를 못 타면 몇 시간을 기다려야 해서.기차 시간은 한 시간 남았고. 그 친구 만나기로 한 시간은 삼십 분 정도 남았어.
기쁨,자식들이랑 손주들이 내  병문안을 마음 졸여서 기다리질 않아.서운하기도 하고 다 이런가 싶기도 하고 그래.새로운 취미나 만들어서 혼자서라도 재미있게 지낼래.
분노,아들처럼 챙겨주는 게 고마워서 그 총각에게 재산을 맡겼는데 내 재산을 가지고 잠적해버렸어.내가 얼마나 우스웠으면 나를 챙겨주면서 내 재산을 가로채다니 내가 바보였어. 정말 속상해.정말 후회스러워. 다시는 그 누구도 믿지 못할 것 같아.
상처,암판정을 받고 나니까 아내가 이혼서류를 내밀었어.그렇지. 그런데 버려진 것 처럼 씁쓸하더라고.그 사람은 내 병을 돌봐줄 만큼 사랑하지 않았나봐.
상처,나랑 같은 나이대 녀석들은 친구도 잘 사귀는데 난 사교성이 없어서 그런지 친구가 많이 없어서 힘드네.내일부터 경로당에 가 봐야지.
분노,간암으로 간을 이식 받기로 했는데 병원 실수로 내 순서가 밀려서 마음이 급해.그냥 기다려야 할지 다른 병원으로 옮길지 고민이야.다른 병원에서 또 기다리느니 그냥 이 병원에서 기다리는 게 좋을 거 같아.
당황,아들 가족이 주말에 병문안 올 거라고 자랑했는데 못 오게 되어서 당황스러워.병실 사람들은 아직도 주말에 자식들이 오는 줄 알고 있어.저녁 식사를 하고 나서 대화를 하다가 못 오게 됐다고 자연스럽게 얘기해 봐야지.
당황,우리 사업 어려워 졌다고 이제는 친했던 업체들이 나를 거들떠도 안 봐. 어떻게 그럴 수가 있을까?도움 필요할 때는 그렇게 세상 살갑게 와서 형님 하던 것들이. 허망하다 허망해.별 수 있나. 그것보다 당장 우리 사업부터 일으켜 세워야지.
기쁨,기분이 좋아.건강검진 결과가 나왔는데 건강하다네.사실 결과 나오기 전까지 조금 걱정했는데 아주 편안해.
당황,앓아눕기 전에 아내가 원했던 근사한 식당에 가자고 했던 말이 떠올라 당황스러워.아프기 전에 더 잘해줄 걸.병을 빨리 낫게 하기위해 좋은 음식을 준비해야겠어.
당황,요즘 건강이 안 좋아지면서 여러 생각이 들어.살면서 외롭고 누구 하나 거들떠보지도 않는 고립된 삶을 살게 되면 많이 힘들겠지? 그렇지만 바쁜 세상에 누가 나를 위해서 봉사를 해줄까.딱히 없는 것 같아. 외로운 내 인생. 모임 같은 곳도 나가봐야겠어.
분노,친구가 새로운 운동을 배워보자는데 아무래도 나는 내키지 않아.내 몸이 젊었을 때 같지 않으니까 괜히 배우다가 다칠까 봐 겁이 나.
분노,아내가 음주운전 사고로 죽었다고 하는데 화를 참을 수가 없어.아내를 죽인 남자가 정말 원망스럽고 복수하고 싶어.그 남자가 제대로 처벌받는 지 살펴봐야겠어.
불안,아무것도 이뤄놓은 것도 없고 인생을 헛산 거 같아.자식들끼리 유산 두고 싸우는 거를 보니까 자식들을 잘못 키웠나 싶고.무자식이 상팔자라더니 옛말 속담 안 맞는 거 없네.
당황,요즘 밤만 되면 죽고 싶어.밤만 되면 죽은 남편이 꿈에 나와. 나도 남편을 따라 가고 싶어.내가 할 수 있을 만한게 아무것도 없어.
슬픔,요즘 재정 상황이 내 마음먹은 대로 좋아지지 않아서 실망스러워.나이가 먹을 수록 고혈압 때문에 먹어야 되는 약들이 많아져서 병원 지출이 늘어났거든.
당황,오늘 사람들 만났는데 많이 부끄러웠어.내가 너무 아는게 없다보니 말귀도 못알아듣고 사오정같았어.
슬픔,젊은이들이 나를 나이가 많다고 하찮게 여기는 것 같아 슬퍼.나도 젊었을 때 능력이 있었는데 인정받지 못해 화가 나.다시 내 전문분야에서 일을 시작하고 싶어.
상처,의사가 더 이상 치료가 소용이 없대. 암울해.그냥 요양이나 하면서 기적적으로 완화되는 것 말고는 방법이 없대. 시한부 인생이네.그냥 권유 받은 대로 요양이나 하면서 최대한 진행을 늦추려고 해야 할 것 같아.
슬픔,아픈 곳도 없고 건강한데 나이가 많다고 등산 동호회 가입을 거절당해서 슬퍼.세월이 야속하게만 느껴지니 더욱더 슬퍼서 눈물이 나.내가 직접 노인을 위한 내가 직접 만들 거야.
불안,내가 병은 가지고 있었지만 그동안 크게 문제는 없이 살아왔는데 최근 검진 결과에 의하면 심각해지고 있대.갑자기 안 좋아졌다니까 당황스럽네.
슬픔,나를 잘 챙겨주던 간호사가 안 보여서 물어보니 그만뒀대.맞아 정말 허전해. 그 간호사를 만나 고마웠다는 인사라도 전해주고 싶어.지금 나를 챙겨주는 간호사에게 말을 전해달라고 해야겠어.
분노,항상 피로감은 있었지만 간암일 줄이야. 병원에서 죽을 수도 있다는데 참혹하고 화가 나. 왜 나에게 이런일이.만성 피로로 힘들 때 건강 검진을 했어야 했어. 다행히 초기니까 수술하자고 하더라고.
불안,나는 틱장애를 오래 앓아서 사람을 못 만나겠어.사람들이 날 피하는데 어떻게 살아야할지 막막해.가족 분들 중에 암 환자가 계셨어. 난 지금 당뇨를 앓고 있어.
분노,죽음에 대한 생각만으로도 구역질이 나.죽음에 대해서 조금은 초연해야 할거 같은데 힘들어.
슬픔,자식이 결혼을 한다는데 우울하네.이것저것 해주고 싶은데 그렇게 못하니 우울해.여유가 있으면 얼마나 좋겠어?
슬픔,낚시 동호회에서 만난 사람이 갑작스런 사고로 죽어서 친해질 기회를 잃었어.요즘은 부쩍 갑작스럽게 죽거나 지병으로 죽는 사람들이 많아서 두렵고 슬퍼.오랫동안 만나지 못한 친구에게 안부 전화하려고 해.
당황,건망증이 심한 줄 알았던 아내가 오늘 나를 못 알아봤어. 아무래도 건망증이 아닌 것 같아서 혼란스러워.아내가 나도 못 알아보는 것을 보면 단순한 건망증이 아니라 치매를 의심해보는 게 맞겠지.우선 아내를 데리고 병원에 가보는 게 좋겠어. 심각하지 않아야 할 텐데.
당황,지갑 사정이 넉넉하지 않은데 자식들 눈치 보여서 용돈을 많이 주고 있어.몸이 아파서 일을 하지 못하니까 재정이 넉넉하지 못해. 부담이 많이 가.자식들에게 사정을 얘기를 하고 도움을 받던지 해야겠어.
분노,백 세 시대라는데 오래 살아서 뭐 해.해외여행은 가보고 싶긴 해.
기쁨,결혼한 딸이 이번에 용돈을 올려줘서 고마워.우리 딸은 어려울 때마다 도와주고 너무 고마워.
분노,아내가 당뇨를 예방해야 한다고 먹지 말라는 음식이 너무 많아져서 짜증나.내가 좋아하는 음식들을 다 먹지 말라고 하니깐 화가 나네 아무리 당뇨예방을 위해서라고 해도 말이야.횟수를 정해서 일주일에 한번은 내가 먹고 싶은 음식으로 먹기로 대화를 해봐야겠어. 이렇게는 못살아.
상처,정 씨가 노인정에서 날 질투해서 괴로워.정 씨는 내가 몸 건강하고 자녀들 다 대학 보내서 질투하는 거야.
상처,호스피스 병동으로 옮긴다고 하니 가족들이 많이 슬퍼했어.맞아 내가 아픈 것보다 가족들이 슬퍼하는 게 더 힘들어.웃는 모습을 자주 보여줘야겠어.
슬픔,독감 예방접종을 공짜로 해준다 해서 병원에 갔더니 약이 없다고 해 실망한 채로 돌아왔어.안 그래도 독감이 곧 유행한다는데 걱정이야 정말.보건소에서 무료 예방접종 한다고 문자가 왔으니 내일 보건소에 갈까 해.
기쁨,이 나이에도 건강하게 술을 즐길 수 있는 게 제일 큰 축복인 것 같아.그래도 언젠가는 술도 끊어야 되는 나이가 오겠지.술 대신 다른 대체할 만한 음료수를 찾아봐야겠어.
슬픔,이것을 사야 되나 말아야 되나 고민되네.내가 꼭 필요한 것인데 값이 비싸니 엄두가 나지 않아. 돈이 그리 많지 않고 쓸 곳은 많고 해서 사야 하나 말아야 하나 생각 중이야.
불안,주변에서 내게 집에만 있지 말고 나가서 운동을 좀 하라네.친구도 별로 없어 집에서 주로 누워 있다 보니 몸이 많이 굳은 것 같아.아내가 우선 점심과 저녁때 같이 산책을 가자고 하니 우선 열심히 다녀야겠어.
기쁨,며칠 전에 아내가 검진을 받았는데 다행히 혹이 음성이었다네.오늘 기쁜 날이니 아내에게 무언가를 해주고 싶어.전에 꽃을 사주었을 때 기뻐하였으니 꽃을 선물해야겠어.
상처,회사에 남아서 좀 더 일을 하고 싶었는데 권고사직을 당했어. 정말 슬프다.난 아직 충분히 더 일할 능력이 된다고 생각했는데 나만의 생각이었나 봐.정부에서 노인 일자리 사업에 지원해준다는 이야기를 들은 적이 있어. 한번 알아봐야겠다.우선 뭔가 할 일이 있다는 게 좋고 돈을 내가 벌어서 쓰는 게 좋은 거지.
기쁨,관절염이 금방 치료가 된다고 해서 올해 농사를 무사히 마무리 할 수 있을 것 같아 기뻐.얼른 나아서 농사 마무리를 열심히 해야겠다. 너무 다행이야.치료 잘 받고 많이 움직이지 않아야겠어.
기쁨,병실 사람들과 내 병을 같이 이야기하니 위로받는 느낌이야. 편안하고 좋네.같은 병을 가진 사람들끼리 어떻게 해야 효과를 받는지 이야기하니 좋은 것 같아.사람들에게 맛있는 과일을 선물 주고 싶어.
상처,암에 걸려서 아들식구랑 같이 살게 되었는데 며느리가 많이 반대했다지 뭐야.평소에 나한테 같이 살면 너무 좋을 거 같다고 말하더니 속마음은 아니었던 거지.남편에게 속상하다고 위로해달라고 해야지.
슬픔,나이가 들어도 건강한 건 좋은데 대인관계가 문제야.요즘 다 짜증이 나서 사람들한테 못되게 굴곤 해. 갱년기인 것 같기도 해.
상처,나한테서 약 냄새가 나서 손자들이 남편이랑만 얘기를 하는데 왠지 고립된 느낌이 들어.몸이 아파서 먹는 약인데 안 먹을 수도 없고 철없는 아이들에게 화도 못 내고 상처가 되네.아이들에게 잘 설명해줘야 할 것 같아. 왜 약을 먹고 왜 냄새가 나는지.
당황,동창회에서 날 싫어했던 친구가 내 당뇨는 어떻게 알았는지 좋은 보험이 있다고 가입을 권유했어.날 그렇게 싫어하던 친구였는데 이제 와서 보험에 가입하라는 건 무슨 심보인 건지.그래도 날 싫어했던 친구이니 보험가입은 하지 않는 것이 좋을 것 같아.
기쁨,만족스러운 삶은 어떤 삶일까?누구나 한번 죽는데 죽음 앞에 자유로워지고 싶다.믿음과 신앙이 있으면 가능해.
분노,개인적으로 저한테는 사회가 제약이 많은 듯해.건강에 안 좋으니 하면 안 되고 타인에게 해를 주니 안 되고. 등등 건강은 본인이 알아서 지켜야 할 것을.
당황,이번에 한의원에서 보약을 지어왔는데 술을 먹지 못해서 친구들과의 술자리에 다 못 가게 됐어.나는 술자리를 정말 좋아하는데 다 못 가게 되어버리니 우울하고 화가나.건강에 대해 말만 하지 말고 실천해야겠어. 당장 운동을 시작할 거야.
